DATE,POPULATION
1970-01-01,1071.446
1971-01-01,1084.500
1972-01-01,1099.600
1973-01-01,1089.300
1974-01-01,1092.200
1975-01-01,1090.900
1976-01-01,1098.100
1977-01-01,1099.900
1978-01-01,1103.700
1979-01-01,1099.300
1980-01-01,1105.379
1981-01-01,1125.950
1982-01-01,1140.269
1983-01-01,1160.694
1984-01-01,1179.132
1985-01-01,1197.401
1986-01-01,1215.506
1987-01-01,1229.319
1988-01-01,1251.100
1989-01-01,1271.443
1990-01-01,1306.166
1991-01-01,1318.543
1992-01-01,1332.208
1993-01-01,1339.189
1994-01-01,1341.707
1995-01-01,1346.548
1996-01-01,1359.099
1997-01-01,1380.383
1998-01-01,1405.903
1999-01-01,1427.114
2000-01-01,1450.086
2001-01-01,1468.652
2002-01-01,1460.438
2003-01-01,1451.418
2004-01-01,1441.496
2005-01-01,1435.870
2006-01-01,1437.154
2007-01-01,1447.863
2008-01-01,1468.793
2009-01-01,1489.583
2010-01-01,1512.997
2011-01-01,1530.893
2012-01-01,1553.729
2013-01-01,1579.508
2014-01-01,1607.638
2015-01-01,1634.326
2016-01-01,1650.765
2017-01-01,1659.824
2018-01-01,1666.596
2019-01-01,1668.412
2020-01-01,1679.844
2021-01-01,1648.556
