DATE,INCOME
1989-01-01,41955
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,47609
1994-01-01,.
1995-01-01,53055
1996-01-01,.
1997-01-01,54275
1998-01-01,57611
1999-01-01,60368
2000-01-01,64040
2001-01-01,64433
2002-01-01,65186
2003-01-01,64365
2004-01-01,65459
2005-01-01,69463
2006-01-01,74058
2007-01-01,76317
2008-01-01,78469
2009-01-01,75084
2010-01-01,73678
2011-01-01,74241
2012-01-01,74208
2013-01-01,78909
2014-01-01,80338
2015-01-01,83036
2016-01-01,90920
2017-01-01,95062
2018-01-01,101463
2019-01-01,106555
2020-01-01,106484
