DATE,POPULATION
1970-01-01,556.116
1971-01-01,563.400
1972-01-01,567.600
1973-01-01,574.000
1974-01-01,581.700
1975-01-01,589.100
1976-01-01,601.200
1977-01-01,615.000
1978-01-01,626.100
1979-01-01,642.800
1980-01-01,656.331
1981-01-01,667.293
1982-01-01,678.903
1983-01-01,690.150
1984-01-01,698.814
1985-01-01,711.446
1986-01-01,725.367
1987-01-01,739.987
1988-01-01,759.242
1989-01-01,784.395
1990-01-01,809.317
1991-01-01,823.183
1992-01-01,839.768
1993-01-01,852.532
1994-01-01,861.979
1995-01-01,872.075
1996-01-01,884.227
1997-01-01,903.049
1998-01-01,921.663
1999-01-01,936.983
2000-01-01,953.124
2001-01-01,971.456
2002-01-01,980.603
2003-01-01,988.357
2004-01-01,993.092
2005-01-01,999.553
2006-01-01,1001.403
2007-01-01,1010.522
2008-01-01,1025.412
2009-01-01,1040.594
2010-01-01,1052.516
2011-01-01,1065.361
2012-01-01,1077.439
2013-01-01,1093.253
2014-01-01,1108.665
2015-01-01,1124.148
2016-01-01,1137.259
2017-01-01,1145.623
2018-01-01,1150.84
2019-01-01,1152.883
2020-01-01,1165.562
2021-01-01,1161.413
