DATE,INCOME
1989-01-01,47104
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,50609
1994-01-01,.
1995-01-01,53266
1996-01-01,.
1997-01-01,60967
1998-01-01,62126
1999-01-01,67785
2000-01-01,72301
2001-01-01,73276
2002-01-01,70854
2003-01-01,66764
2004-01-01,67731
2005-01-01,78009
2006-01-01,81305
2007-01-01,83910
2008-01-01,89909
2009-01-01,86658
2010-01-01,82383
2011-01-01,78470
2012-01-01,88654
2013-01-01,94347
2014-01-01,94549
2015-01-01,99868
2016-01-01,103488
2017-01-01,112735
2018-01-01,122933
2019-01-01,112069
2020-01-01,127601
