DATE,POPULATION
1970-01-01,208.652
1971-01-01,207.000
1972-01-01,207.700
1973-01-01,215.800
1974-01-01,211.600
1975-01-01,217.000
1976-01-01,221.000
1977-01-01,223.300
1978-01-01,223.600
1979-01-01,222.900
1980-01-01,222.592
1981-01-01,223.911
1982-01-01,223.426
1983-01-01,223.972
1984-01-01,223.232
1985-01-01,222.459
1986-01-01,224.013
1987-01-01,224.938
1988-01-01,226.013
1989-01-01,229.176
1990-01-01,230.522
1991-01-01,233.443
1992-01-01,235.820
1993-01-01,238.040
1994-01-01,239.032
1995-01-01,239.195
1996-01-01,238.705
1997-01-01,241.797
1998-01-01,244.706
1999-01-01,246.269
2000-01-01,247.600
2001-01-01,247.905
2002-01-01,246.220
2003-01-01,244.975
2004-01-01,243.541
2005-01-01,243.860
2006-01-01,244.114
2007-01-01,245.841
2008-01-01,248.028
2009-01-01,250.521
2010-01-01,252.906
2011-01-01,255.38
2012-01-01,256.087
2013-01-01,258.441
2014-01-01,260.403
2015-01-01,260.974
2016-01-01,260.722
2017-01-01,259.975
2018-01-01,260.091
2019-01-01,259.085
2020-01-01,261.776
2021-01-01,260.206
