DATE,INCOME
1989-01-01,35576
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,41308
1994-01-01,.
1995-01-01,45369
1996-01-01,.
1997-01-01,46115
1998-01-01,47953
1999-01-01,49663
2000-01-01,53954
2001-01-01,53832
2002-01-01,55349
2003-01-01,56595
2004-01-01,57728
2005-01-01,61784
2006-01-01,61529
2007-01-01,66575
2008-01-01,70173
2009-01-01,65079
2010-01-01,62948
2011-01-01,63090
2012-01-01,61976
2013-01-01,63398
2014-01-01,67106
2015-01-01,67202
2016-01-01,73200
2017-01-01,75931
2018-01-01,82808
2019-01-01,85704
2020-01-01,83678
