DATE,POPULATION
1970-01-01,171.989
1971-01-01,178.500
1972-01-01,181.300
1973-01-01,183.200
1974-01-01,187.400
1975-01-01,191.500
1976-01-01,198.000
1977-01-01,204.700
1978-01-01,213.600
1979-01-01,224.500
1980-01-01,235.203
1981-01-01,246.003
1982-01-01,254.348
1983-01-01,260.386
1984-01-01,264.416
1985-01-01,271.634
1986-01-01,283.617
1987-01-01,296.835
1988-01-01,310.048
1989-01-01,326.074
1990-01-01,343.463
1991-01-01,354.104
1992-01-01,359.919
1993-01-01,364.251
1994-01-01,366.072
1995-01-01,365.395
1996-01-01,367.608
1997-01-01,371.881
1998-01-01,378.657
1999-01-01,387.657
2000-01-01,397.001
2001-01-01,403.761
2002-01-01,407.284
2003-01-01,406.907
2004-01-01,407.135
2005-01-01,405.323
2006-01-01,404.923
2007-01-01,404.485
2008-01-01,404.838
2009-01-01,405.670
2010-01-01,413.963
2011-01-01,416.325
2012-01-01,419.645
2013-01-01,423.634
2014-01-01,428.971
2015-01-01,433.378
2016-01-01,438.834
2017-01-01,443.554
2018-01-01,445.931
2019-01-01,447.434
2020-01-01,453.274
2021-01-01,451.716
