DATE,INCOME
1989-01-01,32477
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,37614
1994-01-01,.
1995-01-01,41016
1996-01-01,.
1997-01-01,43770
1998-01-01,46149
1999-01-01,49481
2000-01-01,53193
2001-01-01,52873
2002-01-01,53230
2003-01-01,52088
2004-01-01,53645
2005-01-01,58110
2006-01-01,60656
2007-01-01,62279
2008-01-01,62314
2009-01-01,61985
2010-01-01,58703
2011-01-01,60792
2012-01-01,59855
2013-01-01,61020
2014-01-01,66949
2015-01-01,66463
2016-01-01,73496
2017-01-01,79511
2018-01-01,81002
2019-01-01,87084
2020-01-01,87366
