DATE,POPULATION
1970-01-01,204.885
1971-01-01,212.400
1972-01-01,224.100
1973-01-01,238.000
1974-01-01,243.000
1975-01-01,253.300
1976-01-01,262.700
1977-01-01,273.200
1978-01-01,281.400
1979-01-01,291.900
1980-01-01,299.681
1981-01-01,308.609
1982-01-01,314.636
1983-01-01,321.580
1984-01-01,326.863
1985-01-01,335.355
1986-01-01,345.270
1987-01-01,356.111
1988-01-01,367.893
1989-01-01,380.633
1990-01-01,390.495
1991-01-01,397.937
1992-01-01,405.151
1993-01-01,410.687
1994-01-01,416.152
1995-01-01,422.286
1996-01-01,428.399
1997-01-01,437.141
1998-01-01,445.901
1999-01-01,453.421
2000-01-01,460.364
2001-01-01,464.358
2002-01-01,463.496
2003-01-01,463.744
2004-01-01,463.045
2005-01-01,461.126
2006-01-01,459.442
2007-01-01,460.985
2008-01-01,465.847
2009-01-01,471.349
2010-01-01,484.675
2011-01-01,487.231
2012-01-01,489.784
2013-01-01,493.87
2014-01-01,498.317
2015-01-01,500.598
2016-01-01,502.445
2017-01-01,502.203
2018-01-01,497.221
2019-01-01,492.318
2020-01-01,488.345
2021-01-01,485.887
